	NCIH596Sskp140h1_h0	NCIH596Sskp140h2_h0	NCIH596S3skp143hHGF1_h3	NCIH596S3skp143hHGF2_h3	NCIH596S6skp146hHGF1_h6	NCIH596S6skp146hHGF2_h6	NCIH596S12skp1412hHGF1_h12	NCIH596S12skp1412hHGF2_h12
IGIP:ENSG00000182700	126	203	95	144	129	232	380	129
TSKU:ENSG00000182704	1812	2073	1328	1851	1003	1772	1379	838
FXYD6P3:ENSG00000182707	0	0	0	0	0	0	0	0
CMC4:ENSG00000182712	203	309	141	250	197	237	125	105
ANXA2:ENSG00000182718	27611	36553	22469	33028	32278	59523	39932	31063
SEPHS1P1:ENSG00000182722	0	0	0	0	0	0	0	0
RGS6:ENSG00000182732	0	0	0	0	0	0	0	0
HOXB4:ENSG00000182742	9	13	3	5	4	6	12	1
SLC35D3:ENSG00000182747	1	0	0	0	1	0	1	0
PAQR7:ENSG00000182749	656	861	462	644	430	893	601	420
PAPPA:ENSG00000182752	83	133	92	128	96	222	183	88
MAFA:ENSG00000182759	43	65	26	22	10	9	8	12
NGRN:ENSG00000182768	1485	2059	1503	2159	1863	3177	1814	1464
GRID1:ENSG00000182771	5	2	1	4	2	13	10	6
RPS17:ENSG00000182774	5652	6971	4785	6914	5684	10116	5250	4886
HCAR2:ENSG00000182782	299	341	112	155	110	214	115	95
OR2T29:ENSG00000182783	0	0	0	0	0	0	0	0
CCDC87:ENSG00000182791	19	17	13	19	10	34	21	7
GSTA5:ENSG00000182793	0	0	0	0	0	0	0	0
C1orf116:ENSG00000182795	1920	2518	1882	2162	1357	2711	1257	782
TMEM198B:ENSG00000182796	205	293	79	148	91	178	330	68
MAGEB17:ENSG00000182798	0	0	0	0	0	0	0	0
CRIP2:ENSG00000182809	518	605	438	633	422	781	364	256
DDX28:ENSG00000182810	245	296	251	348	251	446	192	154
FUNDC2P2:ENSG00000182814	0	0	0	0	0	0	0	0
KRTAP13-2:ENSG00000182816	0	0	0	0	0	0	0	0
ACBD3:ENSG00000182827	1237	1602	1284	1839	1436	2605	1799	1108
C16orf72:ENSG00000182831	3061	4339	4275	6075	3444	6654	4049	2223
PLCXD3:ENSG00000182836	191	303	77	122	85	164	315	160
RRP7BP:ENSG00000182841	95	124	104	178	131	197	241	72
VMO1:ENSG00000182853	14	13	3	13	3	11	10	4
OR4F15:ENSG00000182854	0	0	0	0	0	0	0	0
ALG12:ENSG00000182858	385	434	232	347	301	561	369	248
LCK:ENSG00000182866	0	0	0	0	0	0	0	0
GALNT9:ENSG00000182870	60	52	77	114	78	148	81	34
COL18A1:ENSG00000182871	1690	2432	1209	1712	1163	2700	1799	959
RBM10:ENSG00000182872	1061	1370	680	1040	874	1554	1452	748
ADGRG3:ENSG00000182885	0	1	0	0	0	1	0	0
AC007685.1:ENSG00000182888	0	0	0	0	0	0	0	0
GLUD2:ENSG00000182890	17	27	20	19	22	27	26	19
TMEM95:ENSG00000182896	0	0	0	0	0	0	0	0
TCHHL1:ENSG00000182898	2	2	1	0	0	0	0	0
RPL35A:ENSG00000182899	3793	4930	3314	4706	3720	6688	3135	3138
RGS7:ENSG00000182901	11	8	2	1	8	23	10	7
SLC25A18:ENSG00000182902	2	10	4	10	4	3	3	0
ZNF721:ENSG00000182903	307	364	283	468	304	535	615	189
TCEAL7:ENSG00000182916	0	0	0	0	0	0	0	0
C11orf54:ENSG00000182919	129	163	93	143	75	117	91	64
CCDC75P1:ENSG00000182921	0	0	0	0	0	0	0	0
CEP63:ENSG00000182923	343	431	230	299	262	432	371	171
WFDC10B:ENSG00000182931	1	0	0	0	0	0	0	0
SRPRA:ENSG00000182934	2837	3709	2486	3567	3238	6635	4233	2722
OTOP3:ENSG00000182938	1	0	0	1	0	0	0	0
EWSR1:ENSG00000182944	3435	4697	2440	3871	3329	5814	5420	2557
ODF3L1:ENSG00000182950	2	4	1	0	0	2	3	1
HMGN4:ENSG00000182952	650	869	525	711	595	1058	596	436
SPATA13:ENSG00000182957	164	226	138	249	129	253	306	103
GJC1:ENSG00000182963	266	403	453	591	453	915	760	383
NPM1P14:ENSG00000182965	0	0	0	0	0	0	0	0
SOX1:ENSG00000182968	0	0	0	0	0	0	0	0
CNOT10:ENSG00000182973	322	483	296	389	353	640	394	255
AC135068.1:ENSG00000182974	0	0	0	0	0	0	0	0
MTA1:ENSG00000182979	629	849	441	730	582	1036	1379	508
ZNF662:ENSG00000182983	0	0	0	0	0	0	0	0
CADM1:ENSG00000182985	1	0	1	0	0	3	0	0
ZNF320:ENSG00000182986	319	398	225	317	278	499	529	176
C12orf60:ENSG00000182993	18	16	6	8	7	9	8	8
PYCR1:ENSG00000183010	814	1079	751	1072	884	1735	945	792
NAA38:ENSG00000183011	536	618	389	562	441	694	294	309
SPNS2:ENSG00000183018	12	8	9	13	4	9	21	10
MCEMP1:ENSG00000183019	0	0	0	0	0	0	0	0
AP2A2:ENSG00000183020	1052	1561	798	1177	892	1604	1387	715
TPM3P8:ENSG00000183022	0	0	0	3	1	2	4	2
SLC8A1:ENSG00000183023	135	158	97	119	105	283	273	118
OR1G1:ENSG00000183024	0	0	0	0	0	0	0	0
SLC25A21:ENSG00000183032	7	11	8	9	5	13	4	11
OTOP2:ENSG00000183034	10	17	13	9	4	19	4	3
CYLC1:ENSG00000183035	0	0	0	0	0	0	0	0
PCP4:ENSG00000183036	0	0	0	0	0	0	0	0
ABAT:ENSG00000183044	401	535	272	438	322	600	311	192
SLC25A10:ENSG00000183048	475	603	301	479	354	637	467	316
CAMK1D:ENSG00000183049	317	384	218	313	147	208	267	141
RGPD6:ENSG00000183054	179	322	391	428	112	256	234	268
FAM133CP:ENSG00000183055	0	0	0	0	0	0	0	0
LYSMD4:ENSG00000183060	148	214	101	179	127	180	239	91
WBP2NL:ENSG00000183066	4	17	2	3	2	6	8	3
IGSF5:ENSG00000183067	0	0	0	0	0	0	0	0
NKX2-5:ENSG00000183072	5	7	10	11	5	9	5	4
AFMID:ENSG00000183077	151	197	119	151	96	173	109	74
GAS6:ENSG00000183087	350	523	269	373	305	558	474	221
FREM3:ENSG00000183090	0	1	0	1	0	0	0	0
NEB:ENSG00000183091	25	30	19	15	4	12	25	4
BEGAIN:ENSG00000183092	37	70	82	132	66	134	131	55
GPC6:ENSG00000183098	75	115	63	82	56	103	81	54
ARHGEF37:ENSG00000183111	507	619	177	240	115	219	234	139
FAM43B:ENSG00000183114	0	0	0	0	0	0	0	0
CSMD1:ENSG00000183117	0	0	0	0	0	0	0	0
OR2A3P:ENSG00000183122	0	0	0	0	0	0	0	0
CALHM3:ENSG00000183128	5	3	1	2	1	1	1	0
PTGDR2:ENSG00000183134	0	0	0	0	0	0	0	0
CEP57L1:ENSG00000183137	122	154	79	96	83	149	154	71
RIPPLY3:ENSG00000183145	7	12	7	6	2	9	4	2
ANKRD20A2P:ENSG00000183148	0	0	4	10	4	0	3	2
GPR19:ENSG00000183150	31	24	7	6	5	5	8	5
GJD3:ENSG00000183153	0	0	1	4	0	3	2	0
RABIF:ENSG00000183155	294	410	307	437	368	613	371	276
TMEM119:ENSG00000183160	0	0	1	1	1	0	0	0
FANCF:ENSG00000183161	151	224	142	233	200	360	199	140
CALN1:ENSG00000183166	0	0	0	0	0	0	0	0
POM121L1P:ENSG00000183169	0	0	0	0	1	0	0	0
BX322650.1:ENSG00000183171	12	20	8	12	7	4	10	4
SMDT1:ENSG00000183172	166	236	154	188	117	245	112	118
GABRR3:ENSG00000183185	0	0	0	0	0	0	0	0
C2CD4C:ENSG00000183186	49	56	28	30	23	52	70	30
CHST6:ENSG00000183196	28	40	13	20	14	24	44	28
HSP90AB3P:ENSG00000183199	27	27	49	47	33	72	43	20
POTEC:ENSG00000183206	0	0	0	0	0	0	0	0
RUVBL2:ENSG00000183207	1523	2037	1082	1835	1506	2708	1649	1281
GDPGP1:ENSG00000183208	45	65	46	50	42	68	58	17
CTNNA3:ENSG00000183230	0	0	0	1	0	0	0	0
AL109615.1:ENSG00000183239	0	0	1	0	0	0	0	0
RIMBP3C:ENSG00000183246	15	45	38	23	4	34	39	0
PRR36:ENSG00000183248	8	22	8	8	3	6	9	8
NF1P3:ENSG00000183249	0	0	0	0	0	0	0	0
OR51B4:ENSG00000183251	0	0	0	0	0	0	0	0
PTTG1IP:ENSG00000183255	3064	4064	2624	3542	2539	4824	2830	2047
DDX41:ENSG00000183258	1125	1394	866	1348	1083	1826	1544	804
ABHD16B:ENSG00000183260	0	0	2	0	1	0	0	0
OR52E8:ENSG00000183269	0	0	0	0	0	0	0	0
CCDC60:ENSG00000183273	1	0	0	0	0	1	0	0
PLGLB1:ENSG00000183281	10	24	3	6	3	2	9	4
DAZAP2:ENSG00000183283	1509	1926	1257	1721	1288	2185	1311	888
CCBE1:ENSG00000183287	171	210	84	127	171	349	323	180
SELENOF:ENSG00000183291	2194	2815	1839	2665	2078	3690	2034	1734
PRSS40A:ENSG00000183292	0	0	0	0	0	0	0	0
RPSAP19:ENSG00000183298	5	9	19	3	13	7	5	7
OR5P2:ENSG00000183303	0	0	0	0	0	0	0	0
FAM9A:ENSG00000183304	0	0	0	0	0	0	0	0
MAGEA2B:ENSG00000183305	0	0	0	0	0	0	0	0
TMEM121B:ENSG00000183307	7	12	6	14	3	8	14	7
ZNF623:ENSG00000183309	546	701	558	810	525	900	994	394
OR2T34:ENSG00000183310	0	0	0	0	0	0	0	0
OR52L1:ENSG00000183313	0	0	0	0	0	0	0	0
EPHA10:ENSG00000183317	25	31	20	33	27	40	29	20
SPDYE4:ENSG00000183318	0	0	0	0	0	0	0	0
CCDC125:ENSG00000183323	161	228	90	133	97	137	125	56
REC114:ENSG00000183324	0	0	0	0	0	0	0	0
BOLA2:ENSG00000183336	147	140	110	206	208	294	154	115
BCOR:ENSG00000183337	791	1034	423	627	398	761	1408	548
JRKL:ENSG00000183340	251	315	153	191	203	319	316	147
CABCOCO1:ENSG00000183346	0	0	0	2	1	2	0	0
GBP6:ENSG00000183347	178	159	88	120	41	54	28	16
KIAA2026:ENSG00000183354	610	859	448	717	398	726	838	314
OVCH2:ENSG00000183378	0	0	0	0	0	0	1	0
SYNDIG1L:ENSG00000183379	0	0	0	1	1	0	0	1
FHL3:ENSG00000183386	186	264	433	653	287	588	371	225
OR56A4:ENSG00000183389	0	0	0	0	0	0	0	0
PMCH:ENSG00000183395	0	0	0	0	0	0	0	0
TMEM89:ENSG00000183396	0	0	0	1	0	1	0	0
C19orf71:ENSG00000183397	3	4	2	2	2	5	5	1
CCDC159:ENSG00000183401	82	127	51	75	62	104	77	26
RIPK4:ENSG00000183421	3823	5102	1145	1440	1090	1858	1461	958
LRIT3:ENSG00000183423	7	9	0	4	4	9	6	5
NPIPA1:ENSG00000183426	1542	2348	1126	1569	1230	2146	2959	958
SF3A3:ENSG00000183431	1576	1953	1318	1953	1672	2885	1873	1250
ZBTB8OSP1:ENSG00000183432	0	0	0	0	0	0	0	0
TFDP3:ENSG00000183434	0	0	0	0	0	0	0	0
TRIM61:ENSG00000183439	0	0	0	0	0	0	0	0
OR7E38P:ENSG00000183444	22	34	20	28	20	49	20	15
GRIN2A:ENSG00000183454	0	2	1	0	0	0	0	0
AC138932.1:ENSG00000183458	1044	1676	738	1247	746	1361	1797	512
URAD:ENSG00000183463	0	0	0	0	0	0	0	0
GTF2H2C:ENSG00000183474	244	324	217	332	316	494	366	141
ASB7:ENSG00000183475	315	429	227	360	264	409	373	182
SH2D7:ENSG00000183476	0	0	0	0	0	0	0	0
TREX2:ENSG00000183479	34	56	18	33	32	49	56	18
GPR132:ENSG00000183484	5	7	2	9	0	3	4	0
MX2:ENSG00000183486	3195	3316	2506	2799	1803	4036	1058	854
EP400:ENSG00000183495	841	1110	599	915	703	1338	1640	522
MEX3B:ENSG00000183496	37	54	22	31	17	28	53	21
PI4KAP2:ENSG00000183506	278	421	130	271	221	366	617	180
TENT5C:ENSG00000183508	88	102	49	71	27	67	59	37
COA5:ENSG00000183513	222	296	133	199	127	211	218	100
TDGF1P2:ENSG00000183514	0	0	0	0	0	0	0	0
UTP11:ENSG00000183520	467	671	538	766	680	1149	753	473
PSMG1:ENSG00000183527	683	923	719	935	805	1504	861	698
PRR14L:ENSG00000183530	444	705	521	684	573	983	1019	448
KLRC4:ENSG00000183542	1	3	0	0	0	0	0	0
ACSM5:ENSG00000183549	0	0	0	0	0	0	0	0
C10orf120:ENSG00000183559	0	0	0	0	0	0	0	0
IZUMO1R:ENSG00000183560	0	0	0	0	0	0	0	0
BPIFA4P:ENSG00000183566	0	0	0	0	0	0	0	0
SERHL2:ENSG00000183569	25	23	11	23	19	17	9	6
PCBP3:ENSG00000183570	32	44	28	43	26	43	29	14
PGPEP1L:ENSG00000183571	0	0	0	0	0	0	0	0
SETD3:ENSG00000183576	779	1030	858	1199	910	1711	1072	696
TNFAIP8L3:ENSG00000183578	116	149	76	102	94	184	194	139
ZNRF3:ENSG00000183579	144	196	236	364	204	389	251	117
FBXL7:ENSG00000183580	13	11	3	7	3	13	16	3
HMGN3P1:ENSG00000183586	0	0	0	0	0	0	0	0
TANGO2:ENSG00000183597	256	404	261	397	284	502	465	213
H3C13:ENSG00000183598	5	4	0	1	0	0	3	1
SMG1P5:ENSG00000183604	239	374	261	312	242	399	527	142
SFXN4:ENSG00000183605	187	283	168	250	265	522	291	190
GKN2:ENSG00000183607	0	0	0	0	0	0	0	0
FAM167B:ENSG00000183615	6	5	1	0	1	2	9	3
MRPL54:ENSG00000183617	330	423	254	372	272	446	202	232
ZNF438:ENSG00000183621	68	95	46	76	71	109	111	56
HMCES:ENSG00000183624	1034	1299	1085	1567	1189	2001	1126	828
CCR3:ENSG00000183625	1	0	0	0	0	0	0	0
DGCR6:ENSG00000183628	119	140	63	103	69	130	110	68
GOLGA8G:ENSG00000183629	5	17	11	17	7	9	15	12
PRR32:ENSG00000183631	0	0	0	0	0	0	0	0
TP53TG3:ENSG00000183632	0	0	0	0	0	0	0	0
RP1L1:ENSG00000183638	39	49	23	26	18	25	17	6
KRTAP8-1:ENSG00000183640	0	0	0	0	0	0	0	0
C11orf88:ENSG00000183644	0	0	0	0	0	0	0	0
ZNF530:ENSG00000183647	149	236	151	257	192	306	319	125
NDUFB1:ENSG00000183648	625	767	446	640	442	837	486	400
MARCHF11:ENSG00000183654	0	0	0	0	0	0	0	0
KLHL25:ENSG00000183655	76	86	67	109	85	138	173	88
TAFA1:ENSG00000183662	0	0	0	1	0	0	0	0
AC007992.1:ENSG00000183663	0	0	0	0	0	0	0	0
TRMT12:ENSG00000183665	240	316	266	331	251	393	265	164
GUSBP1:ENSG00000183666	260	372	190	308	289	463	452	260
PSG9:ENSG00000183668	21	19	8	19	9	40	19	11
GPR1:ENSG00000183671	256	251	93	123	35	81	40	35
BMP8A:ENSG00000183682	1	0	0	1	1	0	2	2
ALYREF:ENSG00000183684	810	1158	831	1263	1168	1932	1147	949
RFLNB:ENSG00000183688	164	270	351	515	420	765	444	310
EFHC2:ENSG00000183690	32	53	18	35	23	28	10	11
NOG:ENSG00000183691	45	63	72	78	75	111	73	54
MRGPRX2:ENSG00000183695	0	0	0	0	0	0	0	0
UPP1:ENSG00000183696	934	1350	1981	2511	2643	5817	2562	1911
SLC9B1P1:ENSG00000183704	0	0	0	0	0	0	0	0
OR4N4:ENSG00000183706	0	0	0	0	0	0	0	0
IFNL2:ENSG00000183709	3	2	4	0	1	5	0	0
OPCML:ENSG00000183715	0	0	0	0	0	0	0	0
TRIM52:ENSG00000183718	628	684	223	406	248	396	787	243
LHFPL6:ENSG00000183722	291	393	257	413	348	639	545	312
CMTM4:ENSG00000183723	610	720	348	624	408	683	826	364
TMEM50A:ENSG00000183726	1337	1565	894	1273	972	1883	1171	829
NPBWR1:ENSG00000183729	1	0	1	4	2	0	1	0
FIGLA:ENSG00000183733	0	0	0	0	0	0	0	0
ASCL2:ENSG00000183734	4	1	1	0	0	1	2	0
TBK1:ENSG00000183735	390	439	280	371	354	670	461	227
CBX6:ENSG00000183741	849	1149	546	784	472	825	1032	412
MACC1:ENSG00000183742	38	37	47	61	39	101	73	20
ACSM2A:ENSG00000183747	0	0	0	0	0	0	0	0
TBL3:ENSG00000183751	1001	1297	921	1326	1134	2179	1367	860
BPY2:ENSG00000183753	0	0	0	0	0	0	0	0
ACP7:ENSG00000183760	0	0	4	12	6	15	3	4
KREMEN1:ENSG00000183762	447	527	231	308	202	358	264	151
TRAIP:ENSG00000183763	125	153	53	98	69	141	106	56
CHEK2:ENSG00000183765	191	256	107	176	107	197	185	110
FOXL2:ENSG00000183770	0	0	0	0	0	0	0	1
AIFM3:ENSG00000183773	28	40	10	14	16	26	25	12
KCTD16:ENSG00000183775	3	5	3	2	0	3	1	1
B3GALT5:ENSG00000183778	0	0	0	0	0	0	0	0
ZNF703:ENSG00000183779	659	950	614	797	472	767	478	283
SLC35F3:ENSG00000183780	34	51	19	37	51	131	82	68
KCTD8:ENSG00000183783	4	11	9	18	17	27	11	7
TUBA8:ENSG00000183785	11	10	13	19	15	15	18	11
ELOA3D:ENSG00000183791	0	0	0	0	0	0	0	0
NPIPA5:ENSG00000183793	256	315	147	261	184	364	391	162
BPY2B:ENSG00000183795	0	0	0	0	0	0	0	0
EMILIN3:ENSG00000183798	0	0	0	1	0	0	0	0
OLFML1:ENSG00000183801	24	19	9	10	7	16	7	4
FAM162B:ENSG00000183807	0	0	0	1	0	0	0	0
RBM12B:ENSG00000183808	604	801	328	542	362	634	824	337
CCR4:ENSG00000183813	1	0	0	0	1	0	0	1
LIN9:ENSG00000183814	179	256	72	150	110	172	159	94
BTBD9:ENSG00000183826	293	367	213	303	225	382	339	183
NUDT14:ENSG00000183828	127	180	110	139	92	181	116	91
ANKRD45:ENSG00000183831	2	1	0	1	0	0	0	0
MAATS1:ENSG00000183833	8	12	3	5	2	6	5	3
PNMA3:ENSG00000183837	3	1	1	2	0	1	0	1
GPR39:ENSG00000183840	227	305	231	289	321	598	346	211
FAM3B:ENSG00000183844	0	1	0	0	0	0	0	0
ZNF730:ENSG00000183850	0	0	0	0	0	0	0	0
KIRREL1:ENSG00000183853	3300	4173	3933	5567	4416	8289	5493	2568
IQGAP3:ENSG00000183856	2108	3335	807	1405	726	1076	1741	553
CNGA2:ENSG00000183862	0	0	0	0	0	0	0	0
TOB2:ENSG00000183864	402	537	658	942	443	935	771	401
SCN5A:ENSG00000183873	0	0	0	0	0	0	0	0
ARSI:ENSG00000183876	214	248	114	157	87	144	80	69
UTY:ENSG00000183878	0	0	0	0	0	0	0	0
SRARP:ENSG00000183888	0	0	0	0	0	0	0	0
AC138969.1:ENSG00000183889	1587	2081	971	1592	1320	2193	2775	751
TTC32:ENSG00000183891	172	172	65	138	59	133	117	55
LRRC55:ENSG00000183908	0	0	0	0	0	0	0	0
OR4G2P:ENSG00000183909	0	0	0	0	0	0	0	0
RPL21P132:ENSG00000183911	0	0	0	0	0	0	0	0
DNAH2:ENSG00000183914	67	110	49	66	55	82	131	51
SH2D1A:ENSG00000183918	0	0	0	0	0	0	0	0
SDR42E2:ENSG00000183921	0	1	2	0	0	0	0	0
DUSP5P1:ENSG00000183929	6	7	0	2	0	3	5	3
HTR7P1:ENSG00000183935	66	121	71	72	52	87	79	39
TRBV21OR9-2:ENSG00000183938	0	0	0	0	0	0	0	0
PRKX:ENSG00000183943	279	345	240	321	260	413	282	170
KMT5A:ENSG00000183955	555	708	458	655	485	855	655	371
KCNH8:ENSG00000183960	1	1	0	0	0	0	1	0
SMTN:ENSG00000183963	479	754	673	1129	1096	1795	2547	915
NPW:ENSG00000183971	9	19	11	15	9	17	10	6
PP2D1:ENSG00000183977	0	0	0	0	0	0	0	0
COA3:ENSG00000183978	386	424	275	395	357	594	241	260
NPB:ENSG00000183979	3	6	3	5	3	9	1	3
MAGEA13P:ENSG00000183981	0	0	0	0	0	0	0	0
ST6GALNAC3:ENSG00000184005	21	30	21	26	24	45	13	11
PTP4A2:ENSG00000184007	2767	3771	2942	4198	2853	5195	3012	2158
ACTG1:ENSG00000184009	11510	18440	41414	51947	56823	113854	47265	37133
TMPRSS2:ENSG00000184012	33	27	13	22	8	15	4	7
DENND5A:ENSG00000184014	1409	1797	1504	2005	1490	2425	2029	1088
OR2T10:ENSG00000184022	0	0	0	0	0	0	0	0
KRTAP20-2:ENSG00000184032	0	0	0	0	0	0	0	0
CTAG1B:ENSG00000184033	0	0	0	0	0	0	0	0
DIABLO:ENSG00000184047	403	521	406	534	458	801	404	307
OR7E87P:ENSG00000184055	0	0	0	0	0	0	0	0
VPS33B:ENSG00000184056	170	218	99	139	167	264	225	124
TBX1:ENSG00000184058	17	22	13	19	8	14	9	8
ADAP2:ENSG00000184060	11	10	5	7	3	9	9	8
UQCR10:ENSG00000184076	607	679	467	652	515	814	451	383
FAM120C:ENSG00000184083	836	1186	537	774	567	1142	891	410
AC091868.1:ENSG00000184084	0	0	0	0	0	0	0	0
BRD7P2:ENSG00000184100	7	14	10	13	8	14	9	2
TREML3P:ENSG00000184106	0	0	0	0	0	0	0	0
TRIML1:ENSG00000184108	0	0	0	0	0	0	0	0
EIF3C:ENSG00000184110	4722	5832	2851	6408	5778	10091	7014	4908
RPL11P4:ENSG00000184111	0	0	0	0	0	0	0	0
CLDN5:ENSG00000184113	0	0	0	0	0	0	0	0
AC112229.1:ENSG00000184115	0	0	0	0	0	0	0	0
NIPSNAP1:ENSG00000184117	756	941	599	807	568	980	469	339
RPL7AP28:ENSG00000184139	0	0	0	0	0	0	0	0
OR4F6:ENSG00000184140	0	0	0	0	0	0	0	0
CNTN2:ENSG00000184144	0	1	1	1	0	0	0	0
SPRR4:ENSG00000184148	0	0	0	0	0	0	0	0
LRTOMT:ENSG00000184154	91	139	59	80	54	105	49	32
OR10J5:ENSG00000184155	0	0	0	0	0	0	0	0
KCNQ3:ENSG00000184156	0	0	0	0	2	0	0	0
ADRA2C:ENSG00000184160	32	44	38	60	28	57	45	22
NR2C2AP:ENSG00000184162	326	395	293	460	463	854	388	305
C1QTNF12:ENSG00000184163	4	10	8	17	8	15	11	5
CRELD2:ENSG00000184164	448	592	350	543	486	892	583	404
OR1D2:ENSG00000184166	0	0	0	0	0	0	0	0
SCFD2:ENSG00000184178	247	372	237	299	453	787	543	389
UBE2F:ENSG00000184182	518	717	754	912	828	1396	776	533
KCNJ12:ENSG00000184185	5	9	7	6	10	19	10	9
AC026410.1:ENSG00000184188	0	0	0	0	0	0	0	0
GPR173:ENSG00000184194	36	46	9	30	16	26	43	11
PPP1R2:ENSG00000184203	667	913	690	951	691	1276	742	555
TSPYL2:ENSG00000184205	1102	1439	719	1186	610	1093	1315	493
GOLGA6L4:ENSG00000184206	26	39	8	23	12	23	41	3
PGP:ENSG00000184207	450	632	390	687	529	897	811	443
C22orf46:ENSG00000184208	674	783	320	436	301	550	672	280
SNRNP35:ENSG00000184209	109	140	66	118	96	156	112	64
DGAT2L6:ENSG00000184210	0	1	0	0	0	0	0	0
IRAK1:ENSG00000184216	4031	5757	3869	5938	6019	10127	7989	5442
CMSS1:ENSG00000184220	462	577	371	539	534	962	625	518
OLIG1:ENSG00000184221	0	0	0	0	0	0	0	0
PCDH9:ENSG00000184226	30	40	19	24	25	36	30	14
ACOT1:ENSG00000184227	208	294	161	209	129	170	109	112
OAF:ENSG00000184232	542	706	427	642	585	1104	919	701
ALDH1A3:ENSG00000184254	6852	10470	18964	24487	21502	40231	12011	7427
H2AC20:ENSG00000184260	15	13	8	15	17	19	2	11
KCNK12:ENSG00000184261	0	0	0	0	0	0	0	0
H2AC21:ENSG00000184270	1	0	0	1	0	0	1	1
POU6F1:ENSG00000184271	8	20	13	20	7	17	22	12
DEFB108B:ENSG00000184276	0	0	0	0	0	0	0	0
TM2D3:ENSG00000184277	321	386	199	271	243	401	250	175
TSSC4:ENSG00000184281	445	532	403	674	578	1047	507	353
TACSTD2:ENSG00000184292	6716	7541	6409	8440	3724	8657	1952	1333
CLECL1:ENSG00000184293	0	0	0	0	0	0	0	0
SIX6:ENSG00000184302	0	0	0	0	0	0	0	0
DRD5P1:ENSG00000184303	0	0	0	0	0	0	0	0
PRKD1:ENSG00000184304	95	152	63	91	57	151	145	75
CCSER1:ENSG00000184305	10	22	10	17	10	28	8	7
ZDHHC23:ENSG00000184307	398	531	301	438	294	601	572	212
MROH7:ENSG00000184313	3	7	5	4	0	3	2	2
RPL23AP82:ENSG00000184319	121	148	70	115	105	178	124	97
OR51J1:ENSG00000184321	0	0	0	0	0	0	0	0
S100A7A:ENSG00000184330	2	4	2	1	0	4	2	0
SRPK3:ENSG00000184343	9	6	3	10	1	2	22	5
GDF3:ENSG00000184344	0	0	0	0	0	0	0	0
IQCF2:ENSG00000184345	0	0	0	0	0	0	0	0
SLIT3:ENSG00000184347	2	3	0	5	3	4	4	5
EFNA5:ENSG00000184349	412	487	227	355	232	406	422	208
MRGPRE:ENSG00000184350	0	0	0	0	0	1	0	0
KRTAP19-1:ENSG00000184351	0	0	0	0	0	0	0	0
H1-5:ENSG00000184357	1	0	0	0	0	2	0	1
SPATA32:ENSG00000184361	0	2	3	1	0	0	1	0
PKP3:ENSG00000184363	2401	3383	1954	2838	2357	4620	3397	2117
MAP7D2:ENSG00000184368	8	11	3	5	7	4	9	0
CSF1:ENSG00000184371	475	589	373	515	237	539	404	232
COLEC10:ENSG00000184374	2	2	1	0	0	0	1	0
ACTRT3:ENSG00000184378	43	49	32	23	24	57	43	18
PLA2G6:ENSG00000184381	80	108	34	59	29	40	56	16
MAML2:ENSG00000184384	383	518	330	449	197	401	450	243
PABPC1L2B:ENSG00000184388	0	0	0	0	0	0	0	0
A3GALT2:ENSG00000184389	1	0	0	1	1	3	0	0
OR4N5:ENSG00000184394	0	0	0	0	0	0	0	0
SS18L1:ENSG00000184402	1238	1717	1254	2081	1064	1773	2658	913
KCND2:ENSG00000184408	6	8	3	5	4	6	6	5
IRS3P:ENSG00000184414	0	0	0	0	0	0	0	0
RPL23AP38:ENSG00000184423	0	0	0	0	0	0	0	0
TOP1MT:ENSG00000184428	188	251	196	274	282	523	321	199
COPB2:ENSG00000184432	4926	6515	4288	6089	4922	8681	7088	4291
LRRC19:ENSG00000184434	0	0	0	0	0	0	0	0
THAP7:ENSG00000184436	353	487	262	371	281	556	293	214
KNTC1:ENSG00000184445	953	1327	469	754	492	781	1210	430
CCR10:ENSG00000184451	3	5	1	4	1	4	1	1
NCMAP:ENSG00000184454	0	1	0	0	0	0	0	0
BPIFC:ENSG00000184459	1	0	0	0	0	1	2	0
WDR27:ENSG00000184465	424	673	217	370	344	539	843	278
TXNRD2:ENSG00000184470	317	455	273	375	341	514	457	228
C1QTNF8:ENSG00000184471	0	0	0	0	0	0	0	0
OR56A3:ENSG00000184478	0	0	0	0	0	0	0	0
FOXO4:ENSG00000184481	141	158	76	99	45	88	49	24
POU3F2:ENSG00000184486	2	1	4	3	2	7	4	2
PTP4A3:ENSG00000184489	84	126	56	95	54	115	90	56
FOXD4L1:ENSG00000184492	5	9	1	4	1	7	8	1
TMEM255B:ENSG00000184497	1	4	5	0	1	2	4	3
PROS1:ENSG00000184500	743	979	504	685	443	1084	623	388
GAST:ENSG00000184502	2	0	0	3	3	3	0	1
NUTM1:ENSG00000184507	0	0	2	0	0	0	0	0
HDDC3:ENSG00000184508	87	109	54	106	64	96	58	32
BEX5:ENSG00000184515	8	11	7	14	9	17	12	11
ZFP1:ENSG00000184517	86	108	62	83	74	179	79	71
PTGER4P2:ENSG00000184523	0	0	0	0	0	0	0	0
CEND1:ENSG00000184524	5	9	3	3	2	4	0	2
C6orf58:ENSG00000184530	0	0	0	1	0	0	0	0
DHRS7C:ENSG00000184544	0	0	0	0	0	0	0	0
DUSP8:ENSG00000184545	171	210	94	170	94	132	157	59
