	EBC1SAMP0h1_h0	EBC1SAMP0h2_h0	EBC1S3AMP3hHGF1_h3	EBC1S3AMP3hHGF2_h3	EBC1S6AMP6hHGF1_h6	EBC1S6AMP6hHGF2_h6	EBC1S12AMP12hHGF1_h12	EBC1S12AMP12hHGF2_h12
MTND4LP30:ENSG00000198868	3024	3003	1895	2522	3513	2871	2114	3496
STKLD1:ENSG00000198870	0	1	0	1	1	1	1	0
GRK5:ENSG00000198873	115	85	63	61	66	46	45	130
TYW1:ENSG00000198874	568	597	464	570	770	653	638	1163
DCAF12:ENSG00000198876	993	1012	800	1052	1251	1117	1180	1989
SFMBT2:ENSG00000198879	367	369	253	333	343	331	284	561
ASB12:ENSG00000198881	0	0	0	0	0	0	0	0
PNMA5:ENSG00000198883	0	0	0	0	1	0	0	0
ITPRIPL1:ENSG00000198885	0	0	0	1	0	0	0	0
SMC5:ENSG00000198887	1823	1704	1730	2071	2835	2578	2391	4228
DCAF12L1:ENSG00000198889	0	0	0	0	0	0	0	0
PRMT6:ENSG00000198890	0	0	0	0	0	0	0	0
SHISA4:ENSG00000198892	19	27	15	26	32	40	50	90
CIPC:ENSG00000198894	118	153	58	80	104	95	96	137
CAPZA2:ENSG00000198898	11973	11519	11438	13578	16365	14996	16966	27912
TOP1:ENSG00000198900	5305	5364	6391	7883	11102	9708	9879	16244
PRC1:ENSG00000198901	200	183	200	222	193	129	118	176
BHLHB9:ENSG00000198908	142	153	123	144	156	139	138	236
MAP3K3:ENSG00000198909	441	465	375	494	500	438	485	814
L1CAM:ENSG00000198910	351	447	244	393	386	320	317	523
SREBF2:ENSG00000198911	1933	2128	1926	2515	3334	3016	3001	4637
C1orf174:ENSG00000198912	249	238	142	165	187	162	194	365
POU3F3:ENSG00000198914	0	0	0	0	0	0	0	0
RASGEF1A:ENSG00000198915	3	3	1	1	8	11	16	14
SPOUT1:ENSG00000198917	407	386	330	455	572	464	492	891
RPL39:ENSG00000198918	6062	5406	5245	6196	6995	5889	7220	12101
DZIP3:ENSG00000198919	1085	1063	676	817	1145	1026	852	1264
KIAA0753:ENSG00000198920	978	979	724	891	1319	1181	989	1696
AC011611.1:ENSG00000198923	0	0	0	0	0	0	0	0
DCLRE1A:ENSG00000198924	312	330	205	259	307	268	219	441
ATG9A:ENSG00000198925	1219	1392	918	1273	1563	1316	1249	2014
NOS1AP:ENSG00000198929	44	61	34	69	51	41	36	60
CSAG1:ENSG00000198930	0	0	0	0	0	0	0	0
APRT:ENSG00000198931	985	936	671	908	895	850	867	1581
GPRASP1:ENSG00000198932	0	0	0	0	0	0	1	0
TBKBP1:ENSG00000198933	166	151	67	90	122	97	118	193
MAGEE1:ENSG00000198934	2	3	1	0	0	1	0	1
CCDC167:ENSG00000198937	23	28	18	16	26	21	12	26
ZFP2:ENSG00000198939	3	0	1	4	4	5	4	9
SOWAHA:ENSG00000198944	2	2	3	1	1	1	0	2
L3MBTL3:ENSG00000198945	107	107	64	73	68	62	51	89
DMD:ENSG00000198947	1	3	2	3	2	8	6	5
MFAP3L:ENSG00000198948	19	17	24	29	19	21	31	60
NAGA:ENSG00000198951	355	326	292	370	414	362	282	483
SMG5:ENSG00000198952	1569	1777	1340	1845	2068	1735	1872	3115
KIFBP:ENSG00000198954	687	682	614	692	923	748	890	1447
TGM2:ENSG00000198959	1299	1451	1025	1459	1897	1640	1878	3116
ARMCX6:ENSG00000198960	362	362	259	279	354	281	273	424
PJA2:ENSG00000198961	1860	1802	1525	1842	1877	1607	1483	2505
RORB:ENSG00000198963	1	0	0	0	0	0	0	0
SGMS1:ENSG00000198964	765	778	765	980	1115	1072	860	1535
OR10R2:ENSG00000198965	0	0	0	0	0	0	0	0
OR10Z1:ENSG00000198967	0	0	0	0	0	0	0	0
MIRLET7E:ENSG00000198972	0	0	0	0	0	0	0	0
MIR375:ENSG00000198973	0	0	0	0	0	0	0	0
MIR30E:ENSG00000198974	0	0	0	0	0	0	0	0
MIRLET7A2:ENSG00000198975	0	0	0	0	0	0	0	0
MIR429:ENSG00000198976	0	0	0	0	0	0	0	0
MIR380:ENSG00000198982	0	0	0	0	0	0	0	0
MIR449A:ENSG00000198983	0	0	0	0	0	0	0	0
MIR345:ENSG00000198984	0	0	0	0	0	0	0	0
MIR16-2:ENSG00000198987	0	0	0	0	0	0	0	0
MIR340:ENSG00000198995	0	0	0	0	0	0	0	0
MIR107:ENSG00000198997	0	0	0	0	0	0	0	0
MIR448:ENSG00000199001	0	0	0	0	0	0	0	0
MIR370:ENSG00000199005	0	0	0	0	0	0	0	0
MIR412:ENSG00000199012	0	0	0	0	0	0	0	0
MIR377:ENSG00000199015	0	0	0	0	0	0	0	0
MIR1-1:ENSG00000199017	0	0	0	0	0	0	0	0
MIR381:ENSG00000199020	0	0	0	0	0	0	0	0
MIR339:ENSG00000199023	0	0	0	0	0	0	0	0
MIR103A2:ENSG00000199024	0	0	0	0	0	0	0	0
MIR369:ENSG00000199025	0	0	0	0	0	0	0	0
MIRLET7C:ENSG00000199030	0	0	0	0	0	0	0	0
MIR371A:ENSG00000199031	0	0	0	0	0	0	0	0
MIR425:ENSG00000199032	0	0	0	0	0	0	0	0
MIR103A1:ENSG00000199035	0	0	0	0	0	0	0	0
MIR219A1:ENSG00000199036	0	0	0	0	0	0	0	0
MIR210:ENSG00000199038	0	0	0	0	0	0	0	0
MIR335:ENSG00000199043	0	0	0	0	0	0	0	0
MIR378A:ENSG00000199047	0	0	0	0	0	0	0	0
MIR361:ENSG00000199051	0	0	0	0	0	0	0	0
MIR324:ENSG00000199053	0	0	0	0	0	0	0	0
MIR135B:ENSG00000199059	0	0	0	0	0	0	0	0
MIR101-2:ENSG00000199065	0	0	0	0	0	0	0	0
MIR323A:ENSG00000199069	0	0	0	0	0	0	0	0
MIRLET7F1:ENSG00000199072	0	0	0	0	0	0	0	0
MIR26A1:ENSG00000199075	0	0	0	0	0	0	0	0
MIR129-2:ENSG00000199077	0	0	0	0	0	0	0	0
MIR133B:ENSG00000199080	0	0	0	0	0	0	0	0
MIR342:ENSG00000199082	0	0	0	0	0	0	0	0
MIR148A:ENSG00000199085	0	0	0	0	0	0	0	0
MIR379:ENSG00000199088	0	0	0	0	0	0	0	0
MIR326:ENSG00000199090	0	0	0	0	0	0	0	0
MIR410:ENSG00000199092	0	0	0	0	0	0	0	0
MIR30C2:ENSG00000199094	0	0	0	0	0	0	0	0
MIR372:ENSG00000199095	0	0	0	0	0	0	0	0
MIR302C:ENSG00000199102	0	0	0	0	0	0	0	0
MIR346:ENSG00000199104	0	0	0	0	0	0	0	0
MIR409:ENSG00000199107	0	0	0	0	0	0	0	0
MIR411:ENSG00000199109	0	0	0	0	0	0	0	0
MIR26B:ENSG00000199121	0	0	0	0	0	0	0	0
MIR148B:ENSG00000199122	0	0	0	0	0	0	0	0
MIR383:ENSG00000199127	0	0	0	0	0	0	0	0
MIR365A:ENSG00000199130	0	0	0	0	0	0	0	0
MIR450A1:ENSG00000199132	0	0	0	0	0	0	0	0
MIRLET7D:ENSG00000199133	0	0	0	0	0	0	0	0
MIR101-1:ENSG00000199135	0	0	0	0	0	0	0	0
MIR373:ENSG00000199143	0	0	0	0	0	0	0	0
MIR302D:ENSG00000199145	0	0	0	0	0	0	0	0
MIRLET7G:ENSG00000199150	0	0	0	0	0	0	0	0
MIR337:ENSG00000199151	0	0	0	0	0	0	0	0
MIR30D:ENSG00000199153	0	0	0	0	0	0	0	0
MIR422A:ENSG00000199156	0	0	0	0	0	0	0	0
MIR208A:ENSG00000199157	0	0	0	0	0	0	0	0
MIR96:ENSG00000199158	0	0	0	0	0	0	0	0
MIR126:ENSG00000199161	0	0	0	0	0	0	0	0
MIRLET7A1:ENSG00000199165	0	0	0	0	0	0	0	0
MIR374A:ENSG00000199168	0	0	0	0	0	0	0	0
MIR367:ENSG00000199169	0	0	0	0	0	0	0	0
MIR331:ENSG00000199172	0	0	0	0	0	0	0	0
MIR31:ENSG00000199177	0	0	0	0	0	0	0	0
MIRLET7I:ENSG00000199179	0	0	0	0	0	0	0	0
AL160394.1:ENSG00000199196	0	0	0	0	0	0	0	0
RN7SKP72:ENSG00000199197	0	0	0	0	0	0	0	0
AL390766.1:ENSG00000199200	0	0	0	0	0	0	0	0
AC016394.1:ENSG00000199201	0	0	0	0	0	0	0	0
AC097525.1:ENSG00000199203	0	0	0	0	0	0	0	0
AC087397.1:ENSG00000199204	0	0	0	0	0	0	0	0
RNU105C:ENSG00000199212	0	0	0	0	0	0	0	0
RNU6-1123P:ENSG00000199217	0	0	0	0	0	0	0	0
RN7SKP184:ENSG00000199218	0	0	0	0	0	0	0	0
RNU6-500P:ENSG00000199219	0	0	0	0	0	0	0	0
AC010177.1:ENSG00000199220	0	0	0	0	0	0	0	0
AL358780.1:ENSG00000199222	0	0	0	0	0	0	0	0
AC010503.1:ENSG00000199223	0	0	0	0	0	0	0	0
AC096551.1:ENSG00000199224	0	0	0	0	0	0	0	0
RNU6-50P:ENSG00000199226	0	0	0	0	0	0	0	0
AC069285.1:ENSG00000199231	0	0	0	0	0	0	0	0
RNU6-834P:ENSG00000199237	0	0	0	0	0	0	0	0
AL590965.1:ENSG00000199241	0	0	0	0	0	0	0	0
AC129416.1:ENSG00000199245	0	0	0	0	0	0	0	0
RNU6-896P:ENSG00000199246	0	0	0	0	0	0	0	0
RNU6-28P:ENSG00000199248	0	0	0	0	0	0	0	0
RNU6-664P:ENSG00000199251	0	0	0	0	0	0	0	0
RNU6-874P:ENSG00000199260	0	0	0	0	0	0	0	0
AC099521.1:ENSG00000199263	0	0	0	0	0	0	0	0
SNORA60:ENSG00000199266	0	0	0	0	0	0	0	0
RNA5S12:ENSG00000199270	0	0	0	0	0	0	0	0
RNU6-349P:ENSG00000199272	0	0	0	0	0	0	0	0
AC006023.1:ENSG00000199273	0	0	0	0	0	0	0	0
RNU6-661P:ENSG00000199279	0	0	0	0	0	0	0	0
AL356754.1:ENSG00000199282	0	0	0	0	0	0	0	0
RNU1-58P:ENSG00000199283	0	0	0	0	0	0	0	0
AL132994.1:ENSG00000199285	0	0	0	0	0	0	0	0
RNU6-1094P:ENSG00000199286	0	0	0	0	0	0	0	0
RNU6-502P:ENSG00000199289	0	0	0	0	0	0	0	0
AL645939.1:ENSG00000199290	0	0	0	0	0	0	0	0
AL136418.1:ENSG00000199291	0	0	0	0	0	0	0	0
SNORA21:ENSG00000199293	0	0	0	0	0	0	0	0
RNU6-1312P:ENSG00000199295	0	0	0	0	0	0	0	0
RNU6-208P:ENSG00000199301	0	0	0	0	0	0	0	0
AL035087.1:ENSG00000199303	0	0	0	0	0	0	0	0
RNU6-858P:ENSG00000199306	0	0	0	0	0	0	0	0
RNU6-222P:ENSG00000199308	0	0	0	0	0	0	0	0
SNORD115-34:ENSG00000199311	0	0	0	0	0	0	0	0
RNU4-82P:ENSG00000199313	0	0	0	0	0	0	0	0
RN7SKP25:ENSG00000199319	0	0	0	0	0	0	0	0
AL512272.1:ENSG00000199321	0	0	0	0	0	0	0	0
RNU4-39P:ENSG00000199325	0	0	0	0	0	0	0	0
RNU6-1298P:ENSG00000199326	0	0	0	0	0	0	0	0
RNU6-230P:ENSG00000199327	0	0	0	0	0	0	0	0
AL354797.1:ENSG00000199331	0	0	0	0	0	0	0	0
AL645933.1:ENSG00000199332	0	0	0	0	0	0	0	0
RNA5S11:ENSG00000199334	0	0	0	0	0	0	0	0
RNU6-204P:ENSG00000199335	0	0	0	0	0	0	0	0
RNA5S3:ENSG00000199337	0	0	0	0	0	0	0	0
RNU5E-1:ENSG00000199347	0	0	0	0	0	0	0	0
RNU6-766P:ENSG00000199348	0	0	0	0	0	0	0	0
AL591846.1:ENSG00000199349	0	0	0	0	0	0	0	0
RNA5S1:ENSG00000199352	0	0	0	0	0	0	0	0
AC026634.1:ENSG00000199357	0	0	0	0	0	0	0	0
RNU6-1115P:ENSG00000199360	0	0	0	0	0	0	0	0
RNU1-150P:ENSG00000199361	0	0	0	0	0	0	0	0
AP003031.1:ENSG00000199362	0	0	0	0	0	0	0	0
SNORA63E:ENSG00000199363	0	0	0	0	0	0	0	0
AC010853.1:ENSG00000199366	0	0	1	0	0	0	0	0
RNU6-1084P:ENSG00000199368	0	0	0	0	0	0	0	0
AC083849.1:ENSG00000199370	0	0	0	0	0	0	0	0
RNU5F-1:ENSG00000199377	0	0	0	0	0	0	0	0
AC113407.1:ENSG00000199378	0	0	0	0	0	0	0	0
RNU6-79P:ENSG00000199381	0	0	0	0	0	0	0	0
RNU6-369P:ENSG00000199385	0	0	0	0	0	0	0	0
SNORD114-7:ENSG00000199390	0	0	0	0	0	0	0	0
AC124254.1:ENSG00000199392	0	0	0	0	0	0	0	0
RNU6-600P:ENSG00000199394	0	0	0	0	0	0	0	0
RNA5S5:ENSG00000199396	0	0	0	0	0	0	0	0
AC068657.1:ENSG00000199398	0	0	0	0	0	0	0	0
RNY4P19:ENSG00000199400	0	0	0	0	0	0	0	0
RNA5SP250:ENSG00000199404	0	0	0	0	0	0	0	0
SNORA1B:ENSG00000199405	0	0	0	0	0	0	0	0
AC011382.1:ENSG00000199409	0	0	0	0	0	0	0	0
AL929302.1:ENSG00000199410	0	0	0	0	0	0	0	0
AL929554.1:ENSG00000199411	0	0	0	0	0	0	0	0
RN7SKP170:ENSG00000199420	0	0	0	0	0	0	0	0
VTRNA3-1P:ENSG00000199422	0	0	0	0	0	0	0	0
Z97632.1:ENSG00000199424	0	0	0	0	0	0	0	0
RNU1-108P:ENSG00000199426	0	0	0	0	0	0	0	0
SNORD9:ENSG00000199436	0	0	0	0	0	0	0	0
AC008372.1:ENSG00000199440	0	0	0	0	0	0	0	0
AC099570.1:ENSG00000199442	0	0	0	0	0	0	0	0
AC022415.1:ENSG00000199444	0	0	0	0	0	0	0	0
RNU6-543P:ENSG00000199446	0	0	0	0	0	0	0	0
RNU6-845P:ENSG00000199448	0	0	0	0	0	0	0	0
SNORD115-12:ENSG00000199453	0	0	0	0	0	0	0	0
RNU4-35P:ENSG00000199458	0	0	0	0	0	0	0	0
AL360219.1:ENSG00000199459	0	0	0	0	0	0	0	0
RNU6-1216P:ENSG00000199460	0	0	0	0	0	0	0	0
AL163636.1:ENSG00000199461	0	0	0	0	0	0	0	0
AC068896.1:ENSG00000199466	0	0	0	0	0	0	0	0
RNU6-556P:ENSG00000199468	0	0	0	0	0	0	0	0
RNU1-62P:ENSG00000199469	0	0	0	0	0	0	0	0
AC011891.1:ENSG00000199470	0	0	0	0	0	0	0	0
AC096632.1:ENSG00000199471	0	0	0	0	0	0	0	0
AC005520.1:ENSG00000199472	0	0	0	0	0	0	0	0
AC019117.1:ENSG00000199473	0	0	0	0	0	0	0	0
AC092324.1:ENSG00000199474	0	0	0	0	0	0	0	0
RN7SKP104:ENSG00000199475	0	0	0	0	0	0	0	0
AC105267.1:ENSG00000199476	0	0	0	0	0	0	0	0
SNORA31:ENSG00000199477	0	0	0	0	1	0	1	0
RNU6-633P:ENSG00000199482	0	0	0	0	0	0	0	0
RNU4-15P:ENSG00000199483	0	0	0	0	0	0	0	0
AC010408.1:ENSG00000199487	0	0	0	0	0	0	0	0
RNU1-70P:ENSG00000199488	0	0	0	0	0	0	0	0
SNORD115-25:ENSG00000199489	0	0	0	0	0	0	0	0
AL031685.1:ENSG00000199490	0	0	0	0	0	0	0	0
RNU6-1313P:ENSG00000199492	0	0	0	0	0	0	0	0
RNU1-94P:ENSG00000199497	0	0	0	0	0	0	0	0
RNU6-247P:ENSG00000199506	0	0	0	0	0	0	0	0
RNU6-212P:ENSG00000199512	0	0	0	0	0	0	0	0
RNU6-235P:ENSG00000199514	0	0	0	0	0	0	0	0
AL080243.1:ENSG00000199515	0	0	0	0	0	0	0	0
AC073320.1:ENSG00000199516	0	0	0	0	0	0	0	0
RNU6-386P:ENSG00000199520	0	0	0	0	0	0	0	0
RNU6-462P:ENSG00000199529	0	0	0	0	0	0	0	0
AC021105.1:ENSG00000199530	0	0	0	0	0	0	0	0
RNU6-315P:ENSG00000199536	0	0	0	0	0	0	0	0
AC010443.1:ENSG00000199540	0	0	0	0	0	0	0	0
AC121247.1:ENSG00000199546	0	0	0	0	0	0	0	0
AC129929.1:ENSG00000199550	0	0	0	0	0	0	0	0
RNU6-545P:ENSG00000199551	0	0	0	0	0	0	0	0
AC093264.1:ENSG00000199552	0	0	0	0	0	0	0	0
RNU6-37P:ENSG00000199562	0	0	0	0	0	0	0	0
AL513523.1:ENSG00000199565	0	0	0	0	0	0	0	0
AC008083.1:ENSG00000199566	0	0	0	0	0	0	0	0
AL009175.1:ENSG00000199567	0	0	0	0	0	0	0	0
RNU5A-1:ENSG00000199568	0	1	0	1	0	0	0	1
RNU6-228P:ENSG00000199570	0	0	0	0	0	0	0	0
AC121336.1:ENSG00000199571	0	0	0	0	0	0	0	0
SNORD18C:ENSG00000199574	0	0	0	0	0	0	0	0
SNORD114-1:ENSG00000199575	0	0	0	0	0	0	0	0
RNU6-822P:ENSG00000199577	0	0	0	0	0	0	0	0
AC015720.1:ENSG00000199580	0	0	0	0	0	0	0	0
AC025252.1:ENSG00000199584	0	0	0	0	0	0	0	0
AC139667.1:ENSG00000199591	0	0	0	0	0	0	0	0
SNORD114-14:ENSG00000199593	0	0	0	0	0	0	0	0
RNU6-1301P:ENSG00000199594	0	0	0	0	0	0	0	0
AL359541.1:ENSG00000199595	0	0	0	0	0	0	0	0
RNU6-859P:ENSG00000199598	0	0	0	0	0	0	0	0
RNU6-562P:ENSG00000199601	0	0	0	0	0	0	0	0
RNU6-951P:ENSG00000199603	0	0	0	0	0	0	0	0
RNY4P24:ENSG00000199605	0	0	0	0	0	0	0	0
RN7SKP20:ENSG00000199622	0	0	0	0	0	0	0	0
RNU6-989P:ENSG00000199626	0	0	0	0	0	0	0	0
RNU6-1010P:ENSG00000199627	0	0	0	0	0	0	0	0
RNU1-14P:ENSG00000199629	0	0	0	0	0	0	0	0
AL353692.1:ENSG00000199630	0	0	0	0	0	0	0	0
SNORD33:ENSG00000199631	0	0	0	0	0	0	0	0
AC090260.1:ENSG00000199633	0	0	0	0	0	0	0	0
RNU4-79P:ENSG00000199634	0	0	0	0	0	0	0	0
AL390882.1:ENSG00000199635	0	0	0	0	0	0	0	0
AC007922.1:ENSG00000199636	0	0	0	0	0	0	0	0
RN7SKP294:ENSG00000199640	0	0	0	0	0	0	0	0
RNU4-90P:ENSG00000199643	0	0	0	0	0	0	0	0
RNU6-1330P:ENSG00000199645	0	0	0	0	0	0	0	0
RNU6-1272P:ENSG00000199646	0	0	0	0	0	0	0	0
RNU1-35P:ENSG00000199652	0	0	0	0	0	0	0	0
RNU6-1266P:ENSG00000199664	0	0	0	0	0	0	0	0
SNORD3G:ENSG00000199666	0	0	0	0	0	0	0	0
AC025647.1:ENSG00000199667	0	0	0	0	0	0	0	0
AC009121.1:ENSG00000199668	0	0	0	0	0	0	0	0
RNU4-21P:ENSG00000199672	0	0	0	0	0	0	0	0
SNORD16:ENSG00000199673	0	0	1	0	0	1	0	0
RNU6-862P:ENSG00000199674	0	0	0	0	0	0	0	0
AL078461.1:ENSG00000199676	0	0	0	0	0	0	0	0
AC113410.1:ENSG00000199677	0	0	0	0	0	0	0	0
RN7SKP185:ENSG00000199683	0	0	0	0	0	0	0	0
RNU1-38P:ENSG00000199687	0	0	0	0	0	0	0	0
RN7SKP173:ENSG00000199691	0	1	0	0	0	1	0	0
RNU6-1128P:ENSG00000199695	0	0	0	0	0	0	0	0
RNU6-446P:ENSG00000199697	0	0	0	0	0	0	0	0
AP000459.1:ENSG00000199698	0	0	0	0	0	0	0	0
RNU6-223P:ENSG00000199700	0	0	0	0	0	0	0	0
AP005660.1:ENSG00000199701	0	0	0	0	0	0	0	0
RNU6-170P:ENSG00000199702	0	0	0	0	0	0	0	0
SNORD115-29:ENSG00000199704	0	0	0	0	0	0	0	0
AL591583.1:ENSG00000199705	0	0	0	0	0	0	0	0
RNU4-23P:ENSG00000199709	0	0	0	0	0	0	0	0
AL354713.1:ENSG00000199710	0	0	0	0	0	0	0	0
AC004522.1:ENSG00000199711	0	0	0	0	0	0	0	0
SNORD115-2:ENSG00000199712	0	0	0	0	0	0	0	0
AC104365.1:ENSG00000199713	0	0	0	0	0	0	0	0
AL031774.1:ENSG00000199715	0	0	0	0	0	0	0	0
AL135998.1:ENSG00000199716	0	0	0	0	0	0	0	0
RN7SKP74:ENSG00000199719	0	0	0	0	0	0	0	0
RNU6-655P:ENSG00000199728	0	0	0	0	0	0	0	0
RN7SKP95:ENSG00000199730	0	0	0	0	0	0	0	0
RNU6-1079P:ENSG00000199731	0	0	0	0	0	0	0	0
AP003465.1:ENSG00000199732	0	0	0	0	0	0	0	0
RNU6-227P:ENSG00000199735	0	0	0	0	0	0	0	0
RNU6-552P:ENSG00000199739	0	0	0	0	0	0	0	0
AC008121.1:ENSG00000199740	0	0	0	0	0	0	0	0
SNORD36A:ENSG00000199744	0	0	0	0	0	0	0	0
AL590763.1:ENSG00000199751	0	0	0	0	0	0	0	0
SNORD104:ENSG00000199753	0	0	0	1	0	0	0	0
AL139785.1:ENSG00000199755	0	0	0	0	0	0	0	0
AL009181.1:ENSG00000199756	0	0	0	0	0	0	0	0
AL355353.1:ENSG00000199762	0	0	0	0	0	0	0	0
AC002461.1:ENSG00000199764	0	0	0	0	0	0	0	0
RNU6-363P:ENSG00000199765	0	0	0	0	0	0	0	0
RNU6-78P:ENSG00000199767	0	0	0	0	0	0	0	0
RNU1-76P:ENSG00000199773	0	0	0	0	0	0	0	0
AC096588.1:ENSG00000199780	0	0	0	0	0	0	0	0
AC016692.1:ENSG00000199781	0	0	0	0	0	0	0	0
SNORD115-9:ENSG00000199782	0	0	0	0	0	0	0	0
AL049759.1:ENSG00000199783	0	0	0	0	0	0	0	0
RNU6-1287P:ENSG00000199784	0	0	0	0	0	0	0	0
SNORA52:ENSG00000199785	0	0	0	0	0	1	0	0
SNORA80C:ENSG00000199787	0	0	0	0	0	0	0	0
RNY3P2:ENSG00000199788	0	0	0	0	0	0	0	0
RNU6-836P:ENSG00000199790	0	0	0	0	0	0	0	0
RNU6-451P:ENSG00000199791	0	0	0	0	0	0	0	0
RNU6-1233P:ENSG00000199792	0	0	0	0	0	0	0	0
RNU6-924P:ENSG00000199796	0	0	0	0	0	0	0	0
AL023281.1:ENSG00000199797	0	0	0	0	0	0	0	0
SNORD114-5:ENSG00000199798	0	0	0	0	0	0	0	0
AC004562.1:ENSG00000199801	0	0	0	0	0	0	0	0
RNU6-1159P:ENSG00000199803	0	0	0	0	0	0	0	0
RNU1-134P:ENSG00000199805	0	0	0	0	0	0	0	0
RNU6-428P:ENSG00000199812	0	0	0	0	0	0	0	0
RNU6-1260P:ENSG00000199814	0	0	0	0	0	0	0	0
AC034186.1:ENSG00000199815	0	0	0	0	0	0	0	0
RNU6-199P:ENSG00000199824	0	0	0	0	0	0	0	0
RNU6-1290P:ENSG00000199827	0	0	0	0	0	0	0	0
RN7SKP291:ENSG00000199831	0	0	0	0	0	0	0	0
AL136112.1:ENSG00000199832	0	0	0	0	0	0	0	0
SNORD115-21:ENSG00000199833	0	0	0	0	0	0	0	0
RNU1-47P:ENSG00000199836	0	0	0	0	0	0	0	0
RNA5SP71:ENSG00000199837	0	0	0	0	0	0	0	0
RNA5SP150:ENSG00000199839	0	0	0	0	0	0	0	0
AL158011.1:ENSG00000199840	0	0	0	0	0	0	0	0
RNU1-72P:ENSG00000199846	0	0	0	0	0	0	0	0
RNU5F-6P:ENSG00000199849	0	0	0	0	0	0	0	0
AL121944.1:ENSG00000199851	0	0	0	0	0	0	0	0
RNU6-490P:ENSG00000199855	0	0	0	0	0	0	0	0
AP005900.1:ENSG00000199856	0	0	0	0	0	0	0	0
AC096743.1:ENSG00000199857	0	0	0	0	0	0	0	0
RNU6-1120P:ENSG00000199858	0	0	0	0	0	0	0	0
RNU6-582P:ENSG00000199859	0	0	0	0	0	0	0	0
AC097378.1:ENSG00000199862	0	0	0	0	0	0	0	0
RNU6-495P:ENSG00000199865	0	0	0	0	0	0	0	0
AC093818.1:ENSG00000199866	0	0	0	0	0	0	0	0
AC100843.1:ENSG00000199867	0	0	0	0	0	0	0	0
AC211486.2:ENSG00000199870	0	0	0	0	0	0	0	0
RNU6-942P:ENSG00000199872	0	0	0	0	0	0	0	0
AP003499.1:ENSG00000199875	0	0	0	0	0	0	0	0
RN7SKP149:ENSG00000199878	0	0	0	0	0	0	0	0
RNVU1-22:ENSG00000199879	0	0	0	0	0	0	0	0
RNU6-888P:ENSG00000199880	0	0	0	0	0	0	0	0
AL158040.1:ENSG00000199881	0	0	0	0	0	0	0	0
RN7SKP90:ENSG00000199883	0	0	0	0	0	0	0	0
AC079347.1:ENSG00000199884	0	0	0	0	0	0	0	0
RNU6-330P:ENSG00000199885	0	0	0	0	0	0	0	0
RNU6-249P:ENSG00000199886	0	0	0	0	0	0	0	0
AL390195.1:ENSG00000199890	0	0	0	0	0	0	0	0
RNU1-17P:ENSG00000199892	0	0	0	0	0	0	0	0
AC093872.1:ENSG00000199894	0	0	0	0	0	0	0	0
AC025164.1:ENSG00000199895	0	0	0	0	0	0	0	0
AC089999.1:ENSG00000199899	0	0	0	0	0	0	0	0
RNA5SP463:ENSG00000199900	0	0	0	0	0	0	0	0
AC104066.1:ENSG00000199901	0	0	0	0	0	0	0	0
RNU6-1273P:ENSG00000199903	0	0	0	0	0	0	0	0
RNU6-492P:ENSG00000199905	0	0	0	0	0	0	0	0
RNU5B-2P:ENSG00000199906	0	0	0	0	0	0	0	0
RNA5S10:ENSG00000199910	0	0	0	0	0	0	0	0
AC106821.1:ENSG00000199911	0	0	0	0	0	0	0	0
AC006517.1:ENSG00000199912	0	0	0	0	0	0	0	0
AC211476.1:ENSG00000199913	0	0	0	0	0	0	0	0
SNORD114-16:ENSG00000199914	0	0	0	0	0	0	0	0
RNU4-44P:ENSG00000199920	0	0	0	0	0	0	0	0
RNU6-161P:ENSG00000199921	0	0	0	0	0	0	0	0
RNU6-1252P:ENSG00000199924	0	0	0	0	0	0	0	0
AC025614.1:ENSG00000199927	0	0	0	0	0	0	0	0
RNU1-18P:ENSG00000199932	0	0	0	0	0	0	0	0
RNY1P16:ENSG00000199933	0	0	0	0	0	1	0	0
AC092807.1:ENSG00000199934	0	0	0	0	0	0	0	0
AC016753.1:ENSG00000199936	0	0	0	0	0	0	0	0
AL079341.1:ENSG00000199938	0	0	0	0	0	0	0	0
RN7SKP75:ENSG00000199940	0	0	0	0	0	0	0	0
SNORD114-19:ENSG00000199942	0	0	0	0	0	0	0	0
RNU6-653P:ENSG00000199944	0	0	0	0	0	0	0	0
AC040170.1:ENSG00000199949	0	0	0	0	0	0	0	0
RNA5SP443:ENSG00000199953	0	0	0	0	0	0	0	0
AL359273.1:ENSG00000199959	0	0	0	0	0	0	0	0
SNORD115-14:ENSG00000199960	0	0	0	0	0	0	0	0
SNORD1B:ENSG00000199961	0	0	0	0	0	0	0	0
AP000967.1:ENSG00000199962	0	0	0	0	0	0	0	0
RNU6-605P:ENSG00000199963	0	0	0	0	0	0	0	0
AC007880.1:ENSG00000199964	0	0	0	0	0	0	0	0
SNORD115-19:ENSG00000199968	0	0	0	0	0	0	0	0
SNORD115-3:ENSG00000199970	0	0	0	0	0	0	0	0
RNU6-797P:ENSG00000199971	0	0	0	0	0	0	0	0
RN7SKP243:ENSG00000199975	0	0	0	0	0	0	0	0
AC103987.1:ENSG00000199977	0	1	0	0	0	0	1	0
AC009082.1:ENSG00000199979	0	0	0	0	0	0	0	0
RNU6-486P:ENSG00000199986	0	0	0	0	0	0	0	0
VTRNA1-1:ENSG00000199990	0	0	0	0	0	0	0	0
RNU6-986P:ENSG00000200003	0	0	0	0	0	0	0	0
