	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
LINC00634:ENSG00000205704	0	0	0	0	0	0	0	0
ETFRF1:ENSG00000205707	132	136	107	114	142	123	163	123
C17orf107:ENSG00000205710	1	4	7	6	9	5	9	11
FAM183DP:ENSG00000205716	0	0	0	0	0	0	0	0
MBD3L4:ENSG00000205718	0	0	0	0	0	0	0	0
ITSN1:ENSG00000205726	424	410	482	406	511	508	614	443
ITPRIPL2:ENSG00000205730	2226	2243	1953	1861	2335	2199	3225	2351
DENND1C:ENSG00000205744	2	1	1	4	3	2	2	3
AC126755.1:ENSG00000205746	597	492	721	682	974	741	1293	808
SLCO1B7:ENSG00000205754	49	52	107	69	133	144	196	160
CRLF2:ENSG00000205755	12	23	17	11	9	14	10	9
CRYZL1:ENSG00000205758	174	161	159	122	221	206	252	182
RP9P:ENSG00000205763	90	88	93	83	109	87	177	153
C5orf51:ENSG00000205765	1708	1863	2186	1934	2392	2018	2966	2124
AL136038.2:ENSG00000205767	0	0	0	0	0	0	0	0
CATSPER2P1:ENSG00000205771	7	4	2	3	3	3	5	0
GAGE1:ENSG00000205777	0	0	0	0	0	0	0	0
ARRDC5:ENSG00000205784	0	0	0	0	0	0	0	0
AC098591.2:ENSG00000205794	0	0	0	1	0	0	1	0
CYS1:ENSG00000205795	9	14	11	9	12	8	19	12
PLPP6:ENSG00000205808	378	321	252	204	252	210	316	225
KLRC2:ENSG00000205809	137	154	99	69	114	91	161	105
KLRC3:ENSG00000205810	3	2	4	3	5	5	8	4
TPTE2P6:ENSG00000205822	0	3	3	6	3	0	6	3
C16orf96:ENSG00000205832	1	1	0	0	0	0	0	0
GMNC:ENSG00000205835	0	0	0	0	0	2	1	0
TTC23L:ENSG00000205838	2	1	0	0	0	0	1	0
CLEC6A:ENSG00000205846	0	0	0	0	0	0	0	0
OR7E91P:ENSG00000205847	0	0	0	0	0	0	0	0
C22orf42:ENSG00000205856	0	0	0	0	0	0	0	0
NANOGNB:ENSG00000205857	0	0	0	0	0	0	0	0
LRRC72:ENSG00000205858	0	0	0	0	0	0	0	0
C1QTNF9B:ENSG00000205863	0	2	2	0	0	0	0	0
KRTAP5-6:ENSG00000205864	0	0	0	0	0	0	0	0
KRTAP5-2:ENSG00000205867	0	0	0	0	0	0	0	0
KRTAP5-1:ENSG00000205869	0	0	0	0	1	0	1	1
RPS3AP47:ENSG00000205871	2	5	1	1	3	2	0	1
FAM90A2P:ENSG00000205879	3	2	4	9	2	1	11	0
DEFB134:ENSG00000205882	0	0	0	0	0	0	0	0
DEFB135:ENSG00000205883	0	0	0	0	0	0	0	0
DEFB136:ENSG00000205884	0	0	0	0	0	0	0	0
OR7E136P:ENSG00000205897	0	0	0	0	0	0	0	0
AC019155.1:ENSG00000205898	0	0	0	0	0	0	0	0
BHLHA9:ENSG00000205899	0	0	0	0	0	0	0	0
ZNF316:ENSG00000205903	745	861	1234	1021	1692	1500	2321	1610
DAZ4:ENSG00000205916	0	1	0	1	0	0	1	0
PDPK2P:ENSG00000205918	7	4	11	5	22	22	19	10
ONECUT3:ENSG00000205922	2	0	1	2	1	0	1	0
CEMP1:ENSG00000205923	0	0	0	0	0	0	0	0
OLIG2:ENSG00000205927	4	2	8	1	7	3	9	8
C21orf62:ENSG00000205929	0	0	0	0	0	0	0	0
PPP1R12BP2:ENSG00000205936	0	0	0	0	0	0	0	0
RNPS1:ENSG00000205937	3641	4138	4847	3728	5073	4508	6505	4531
HSP90AB2P:ENSG00000205940	2	0	0	1	2	3	3	0
DAZ2:ENSG00000205944	0	0	0	0	0	0	0	0
USP17L6P:ENSG00000205946	0	0	0	0	0	0	2	0
HSP90AA5P:ENSG00000205955	0	0	0	0	0	0	0	0
AC091951.1:ENSG00000205976	0	0	0	0	0	0	0	0
NYNRIN:ENSG00000205978	0	8	3	4	8	2	2	0
DNAJC19:ENSG00000205981	125	95	91	79	85	84	115	90
DEFB109C:ENSG00000205989	0	0	0	0	0	0	0	0
IFITM5:ENSG00000206013	0	0	0	0	0	0	0	0
OR7E161P:ENSG00000206014	0	0	0	0	0	0	0	0
SMIM21:ENSG00000206026	0	0	0	0	0	0	0	1
DEFB109B:ENSG00000206034	0	0	0	0	0	0	0	0
DEFA7P:ENSG00000206042	0	0	0	0	0	0	0	0
C18orf63:ENSG00000206043	0	1	1	0	0	2	0	1
DEFA1:ENSG00000206047	0	0	0	0	0	0	0	0
DOK6:ENSG00000206052	0	0	0	0	0	0	1	1
JPT2:ENSG00000206053	3443	4177	4151	3528	5334	4887	6404	4327
IGLL3P:ENSG00000206066	0	0	0	0	0	0	0	0
TMEM211:ENSG00000206069	0	0	0	1	0	0	0	0
SERPINB11:ENSG00000206072	0	0	0	0	0	0	0	0
SERPINB4:ENSG00000206073	0	0	0	0	0	0	0	0
SERPINB5:ENSG00000206075	0	0	0	0	1	1	0	0
ZDHHC11B:ENSG00000206077	30	13	44	42	83	74	47	44
AP000350.1:ENSG00000206090	0	0	0	0	0	0	0	0
KRTAP19-8:ENSG00000206102	0	0	0	0	0	0	0	0
KRTAP20-3:ENSG00000206104	0	0	0	0	0	0	0	0
KRTAP20-4:ENSG00000206105	0	0	0	0	0	0	0	0
KRTAP22-2:ENSG00000206106	0	0	0	0	0	0	0	0
KRTAP27-1:ENSG00000206107	0	0	0	0	0	0	0	0
CFAP99:ENSG00000206113	0	1	2	0	1	1	1	1
EGFEM1P:ENSG00000206120	0	0	0	0	0	0	0	0
GOLGA8O:ENSG00000206127	14	15	35	17	11	27	22	24
TMEM191C:ENSG00000206140	11	6	5	2	9	3	15	16
MAPK6P1:ENSG00000206144	0	0	0	1	0	0	0	0
P2RX6P:ENSG00000206145	0	0	0	0	0	0	0	0
RPL23AP57:ENSG00000206147	1	5	1	3	1	1	3	1
HERC2P9:ENSG00000206149	238	180	256	179	254	248	354	300
RNASE13:ENSG00000206150	0	0	0	0	0	0	0	0
GYG2P1:ENSG00000206159	0	0	0	0	1	0	1	0
Z69890.1:ENSG00000206168	0	0	0	0	0	0	0	0
HBA1:ENSG00000206172	3	0	2	1	3	1	2	2
HBM:ENSG00000206177	0	0	0	0	0	0	0	0
HBZP1:ENSG00000206178	0	0	0	0	0	0	0	0
ELOA2:ENSG00000206181	0	0	0	0	0	1	0	0
ATP10A:ENSG00000206190	64	48	42	28	33	38	40	28
ANKRD20A9P:ENSG00000206192	0	0	2	0	1	1	0	0
ANKUB1:ENSG00000206199	2	0	2	0	1	3	2	1
TSSK2:ENSG00000206203	0	0	2	0	0	1	1	0
HNRNPA1P4:ENSG00000206228	0	1	2	2	0	3	0	1
PRR23A:ENSG00000206260	0	0	0	0	0	0	0	0
FOXL2NB:ENSG00000206262	35	29	10	11	19	12	29	16
HLA-H:ENSG00000206341	16	36	26	33	31	34	47	24
AC114324.1:ENSG00000206356	0	0	0	0	0	0	0	0
COL6A6:ENSG00000206384	0	0	0	0	0	1	0	0
RAB12:ENSG00000206418	186	218	203	152	199	158	336	220
LRRC30:ENSG00000206422	0	0	0	0	0	0	0	0
TMEM200C:ENSG00000206432	11	8	19	17	51	53	56	39
PPIAP30:ENSG00000206448	0	0	1	0	0	1	0	0
OR10C1:ENSG00000206474	0	0	0	0	0	0	0	0
HLA-A:ENSG00000206503	1752	2327	2347	1945	2643	2425	3123	2285
HACD2:ENSG00000206527	1552	1478	1658	1357	1944	1830	2595	1794
CFAP44:ENSG00000206530	50	62	55	31	48	44	26	9
CD200R1L:ENSG00000206531	0	0	2	0	1	0	2	1
LNP1:ENSG00000206535	10	1	4	4	1	4	5	2
OR5K3:ENSG00000206536	0	0	0	0	0	0	0	0
VGLL3:ENSG00000206538	690	702	786	697	1324	1376	2550	1495
AC109583.1:ENSG00000206549	0	0	0	0	0	0	0	0
TRIM71:ENSG00000206557	0	0	2	0	1	1	1	1
ZCWPW2:ENSG00000206559	1	6	1	0	3	1	2	5
ANKRD28:ENSG00000206560	2047	2241	1849	1558	1929	1775	2853	2014
COLQ:ENSG00000206561	5	3	9	2	9	7	12	4
METTL6:ENSG00000206562	339	343	327	266	404	361	476	331
XKR4:ENSG00000206579	0	0	1	0	1	0	0	0
AL136173.1:ENSG00000206582	0	0	0	0	0	0	0	0
RNU6-1292P:ENSG00000206583	0	0	0	0	0	0	0	0
RNVU1-7:ENSG00000206585	1	3	0	0	1	1	0	2
RNU6-46P:ENSG00000206587	0	0	0	0	0	0	0	0
RNU1-28P:ENSG00000206588	1	3	0	0	1	1	0	2
RNU6-354P:ENSG00000206589	0	0	0	0	0	0	0	0
RNU6-132P:ENSG00000206590	0	0	0	0	0	0	0	0
AC016559.1:ENSG00000206592	0	0	0	0	0	0	0	0
RNU6-47P:ENSG00000206593	0	0	0	0	0	0	0	0
RNU6-877P:ENSG00000206595	0	0	0	0	0	0	0	0
RNU1-27P:ENSG00000206596	1	3	0	0	1	1	20	2
SNORA57:ENSG00000206597	0	0	0	0	0	0	0	0
RNU6-1286P:ENSG00000206598	0	0	0	0	0	0	0	0
RNU6-841P:ENSG00000206599	0	0	0	0	0	0	0	0
RNU6-25P:ENSG00000206600	0	0	0	0	0	0	0	0
RNU6-431P:ENSG00000206601	0	0	0	0	0	0	0	0
SNORD58A:ENSG00000206602	0	0	0	0	0	0	0	0
SNORA22B:ENSG00000206603	0	0	0	0	0	0	0	0
RNU6-425P:ENSG00000206604	0	0	0	0	0	0	0	0
RNU6-946P:ENSG00000206605	0	0	0	0	0	0	0	0
RNU6-1296P:ENSG00000206606	0	0	0	0	0	0	0	0
SNORD116-11:ENSG00000206609	0	0	0	0	0	0	0	0
SNORD24:ENSG00000206611	0	0	0	0	0	0	0	0
SNORA2A:ENSG00000206612	0	0	0	0	0	0	0	0
RNU6-1336P:ENSG00000206613	0	0	0	0	0	0	0	0
RNU6-477P:ENSG00000206614	0	0	0	0	0	0	0	0
RNU6-338P:ENSG00000206615	0	0	0	0	0	0	0	0
RNU6-741P:ENSG00000206616	0	0	0	0	0	0	0	0
RNY1P5:ENSG00000206617	0	0	0	0	0	0	0	0
RNU6-1264P:ENSG00000206618	0	0	0	0	0	0	0	0
SNORD45C:ENSG00000206620	0	0	0	0	0	0	0	0
SNORD116-14:ENSG00000206621	0	0	0	0	0	0	0	0
SNORA69:ENSG00000206622	0	0	0	0	0	0	0	0
RNU6-979P:ENSG00000206623	0	0	0	0	0	0	0	0
RNU1-39P:ENSG00000206624	1	0	0	0	0	0	0	0
RNU6-1:ENSG00000206625	0	0	0	0	0	0	0	0
RNU6-969P:ENSG00000206627	0	0	0	0	0	0	0	0
RNU1-63P:ENSG00000206629	0	0	0	0	0	0	0	0
SNORD60:ENSG00000206630	0	0	0	0	0	0	0	0
RNU6-657P:ENSG00000206631	0	0	0	0	0	0	0	0
SNORA80B:ENSG00000206633	0	0	0	0	0	0	0	0
SNORA22:ENSG00000206634	0	0	0	0	0	0	1	0
RNU6-1062P:ENSG00000206635	0	0	0	0	0	0	0	0
AC006511.1:ENSG00000206636	0	0	0	0	0	0	0	0
SNORA70H:ENSG00000206637	0	0	0	0	0	0	0	0
RNU6-672P:ENSG00000206638	0	0	0	0	0	0	0	0
U72788.1:ENSG00000206639	0	0	0	0	0	0	0	0
AL356273.2:ENSG00000206640	0	0	0	0	0	0	0	0
RNU6-449P:ENSG00000206641	0	0	0	0	0	0	0	0
RNU6-1279P:ENSG00000206644	0	0	0	0	0	0	0	0
AC006583.1:ENSG00000206645	0	0	0	0	0	0	0	0
AL672138.1:ENSG00000206646	0	0	0	0	0	0	0	0
AC007240.1:ENSG00000206647	0	0	0	0	0	0	0	0
AC104212.1:ENSG00000206649	0	0	0	0	0	0	0	0
SNORA70G:ENSG00000206650	0	0	0	0	0	0	0	0
AL139412.1:ENSG00000206651	0	0	0	0	0	0	0	0
RNU1-1:ENSG00000206652	1	3	0	0	1	1	0	2
RNU6-608P:ENSG00000206654	0	0	0	0	0	0	0	0
SNORD116-17:ENSG00000206656	0	0	0	0	0	0	0	0
RNU6-1039P:ENSG00000206658	0	0	0	0	0	0	0	0
Z99297.1:ENSG00000206659	0	0	0	0	0	0	0	0
AL161932.1:ENSG00000206660	0	0	0	0	0	0	0	0
AC019176.1:ENSG00000206661	0	0	0	0	0	0	0	0
AC087321.1:ENSG00000206662	0	0	0	0	0	0	0	0
AL732366.3:ENSG00000206663	0	0	0	0	0	0	0	0
RNU6-573P:ENSG00000206665	0	0	0	0	0	0	0	0
AC008733.1:ENSG00000206669	0	0	0	0	0	0	0	0
RNU6-471P:ENSG00000206671	0	0	0	0	0	0	0	0
AL049860.1:ENSG00000206672	0	0	0	0	0	0	0	0
RNU6-945P:ENSG00000206674	0	0	0	0	0	0	0	0
RNU6-32P:ENSG00000206675	0	0	0	0	0	0	0	0
AC069483.1:ENSG00000206676	0	0	0	0	0	0	0	0
AC091807.1:ENSG00000206677	0	0	0	0	0	0	0	0
RNU6-144P:ENSG00000206678	0	0	0	0	0	0	0	0
AC092802.1:ENSG00000206679	0	0	0	0	0	0	0	0
SNORD21:ENSG00000206680	0	0	0	0	0	0	0	0
RNU6-730P:ENSG00000206681	0	0	0	0	0	0	0	0
AC106802.1:ENSG00000206682	0	0	0	0	0	0	0	0
RNU6-157P:ENSG00000206684	0	0	0	0	0	0	0	0
RNU6-1189P:ENSG00000206685	0	0	0	0	0	0	0	0
RNU6-1036P:ENSG00000206686	0	0	0	0	0	0	0	0
RNU1-109P:ENSG00000206687	0	0	0	0	0	0	0	0
SNORD116-18:ENSG00000206688	0	0	0	0	0	0	0	0
AP005436.1:ENSG00000206690	0	0	0	0	0	0	0	0
AL445673.1:ENSG00000206692	0	0	0	0	0	0	0	0
SNORA56:ENSG00000206693	0	0	0	0	0	0	0	0
RNU6-442P:ENSG00000206695	0	0	0	0	0	0	0	0
RNY1P8:ENSG00000206697	0	0	0	0	0	0	0	0
RNU1-73P:ENSG00000206698	0	0	0	0	0	0	0	0
AC026827.1:ENSG00000206699	0	0	0	0	0	0	0	0
RNU6-723P:ENSG00000206700	0	0	0	0	0	0	0	0
RNU6-1040P:ENSG00000206701	0	0	0	0	0	0	0	0
RNU1-11P:ENSG00000206702	0	0	0	0	0	0	0	0
RNU6-128P:ENSG00000206703	0	0	0	0	0	0	0	0
AL138785.1:ENSG00000206704	0	0	0	0	0	0	0	0
AC024084.1:ENSG00000206705	0	0	0	0	0	0	0	0
AC138969.2:ENSG00000206706	0	0	1	0	0	0	0	0
RNU6-1227P:ENSG00000206708	0	0	0	0	0	0	0	0
RNU6-1080P:ENSG00000206709	0	0	0	0	0	0	0	0
RNU6-147P:ENSG00000206710	0	0	0	0	0	0	0	0
AC107055.1:ENSG00000206711	0	0	0	0	0	0	0	0
RNU6-26P:ENSG00000206712	0	1	0	0	1	0	0	0
AC111186.1:ENSG00000206713	0	0	0	0	0	0	0	0
AC104108.1:ENSG00000206714	0	0	0	0	0	0	0	0
RNU6-444P:ENSG00000206715	0	0	0	0	0	0	0	0
RNU6-133P:ENSG00000206716	0	0	0	0	0	0	0	0
AL139100.1:ENSG00000206717	0	0	0	0	0	0	0	0
RNU6-546P:ENSG00000206718	0	0	0	0	0	0	0	0
AC046174.1:ENSG00000206719	0	0	0	0	0	0	0	0
AC092897.1:ENSG00000206721	0	0	0	0	0	0	0	0
RNU6-1074P:ENSG00000206722	0	0	0	0	0	0	0	0
RNU6-1056P:ENSG00000206723	0	0	0	0	0	0	0	0
RNU6-756P:ENSG00000206724	0	0	0	0	0	0	0	0
RNU6-1027P:ENSG00000206725	0	0	0	0	0	0	0	0
RNU6-259P:ENSG00000206726	0	0	0	0	0	0	0	0
SNORD116-9:ENSG00000206727	0	0	0	0	0	0	0	0
AC104741.1:ENSG00000206728	0	0	0	0	0	0	0	0
RNU6-1126P:ENSG00000206729	0	0	0	0	0	0	0	0
RNU6-468P:ENSG00000206730	0	0	0	0	0	0	0	0
AC074091.1:ENSG00000206731	0	0	0	0	0	0	0	0
RNU6-936P:ENSG00000206732	0	0	0	0	0	0	0	0
RNU6-641P:ENSG00000206733	0	0	0	0	0	0	0	0
AC025682.1:ENSG00000206734	0	0	0	0	0	0	0	0
RNVU1-18:ENSG00000206737	1	3	0	0	1	1	0	2
CR450722.1:ENSG00000206738	0	0	0	0	0	0	0	0
AC004461.1:ENSG00000206739	0	0	0	0	0	0	0	0
AC022217.1:ENSG00000206741	0	0	0	0	0	0	0	0
RNU6-484P:ENSG00000206743	0	0	0	0	0	0	0	0
RNU6-620P:ENSG00000206744	0	0	0	0	0	0	0	0
RNU6-643P:ENSG00000206745	0	0	0	0	0	0	0	0
RNU6-142P:ENSG00000206746	0	0	0	0	0	0	0	0
RNU6-245P:ENSG00000206747	0	0	0	0	0	0	0	0
RNU6-1083P:ENSG00000206749	0	0	0	0	0	0	0	0
AC006360.1:ENSG00000206751	0	0	0	0	0	0	0	0
RNU6-1323P:ENSG00000206752	0	0	0	0	0	0	0	0
SNORD101:ENSG00000206754	0	0	0	0	0	0	0	0
SNORA30:ENSG00000206755	0	0	0	0	0	0	0	0
AC012046.1:ENSG00000206756	0	0	0	0	0	0	0	0
RNU6-317P:ENSG00000206758	0	0	0	0	0	0	0	0
RNU6-787P:ENSG00000206759	0	0	0	0	0	0	0	0
SNORA6:ENSG00000206760	0	0	0	0	0	0	0	0
RNU6-418P:ENSG00000206762	0	0	0	0	0	0	0	0
RNU6-10P:ENSG00000206763	0	0	0	0	0	0	0	0
RNU6-152P:ENSG00000206764	0	0	0	0	0	0	0	0
RNU6-203P:ENSG00000206765	0	0	0	0	0	0	0	0
RNU6-435P:ENSG00000206766	0	0	0	0	0	0	0	0
RNU6-949P:ENSG00000206767	0	0	0	0	0	0	0	0
AL391262.1:ENSG00000206768	0	0	0	0	0	0	0	0
RNU6-116P:ENSG00000206769	0	0	0	0	0	0	0	0
AC063979.1:ENSG00000206770	0	0	0	0	0	0	0	0
RNU6-44P:ENSG00000206772	0	0	0	0	0	0	0	0
RNU6-211P:ENSG00000206774	0	0	0	0	0	0	0	0
SNORD37:ENSG00000206775	0	0	0	0	0	0	0	0
AC021733.1:ENSG00000206776	0	0	0	0	0	0	0	0
RNU6-637P:ENSG00000206777	0	0	0	0	0	0	0	0
RNU6-213P:ENSG00000206778	0	0	0	0	0	0	0	0
CR589951.1:ENSG00000206779	0	0	0	0	0	0	0	0
SNORA75B:ENSG00000206780	0	0	0	0	0	0	0	0
AC091231.1:ENSG00000206781	0	0	0	0	0	0	0	0
RNU6-224P:ENSG00000206782	0	0	0	0	0	0	0	0
AL158155.1:ENSG00000206784	0	0	0	0	0	0	0	0
SNORA15B-2:ENSG00000206785	0	0	0	0	0	0	0	0
RNU6-701P:ENSG00000206786	0	0	0	0	0	0	0	0
RNU6-76P:ENSG00000206787	0	0	0	0	0	0	0	0
RNU6-629P:ENSG00000206788	0	0	0	0	0	0	0	0
AC026110.1:ENSG00000206790	0	0	0	0	0	0	0	0
RNU1-129P:ENSG00000206791	0	0	0	0	0	0	0	0
AC002980.1:ENSG00000206792	0	0	0	0	0	0	0	0
AC002981.1:ENSG00000206795	0	0	0	0	0	0	0	0
RNU6-811P:ENSG00000206796	0	0	0	0	0	0	0	0
AL121747.1:ENSG00000206797	0	0	0	0	0	0	0	0
SNORA32:ENSG00000206799	0	0	0	0	0	0	0	0
RNY3P7:ENSG00000206800	0	0	0	0	0	0	0	0
RNU6-639P:ENSG00000206801	0	0	0	0	0	0	0	0
RNU6-926P:ENSG00000206802	0	0	0	0	0	0	0	0
RNU6-968P:ENSG00000206803	0	0	0	0	0	0	0	0
RNU6-1293P:ENSG00000206804	0	0	0	0	0	0	0	0
AC036222.2:ENSG00000206805	0	0	0	0	0	0	0	0
AC018951.1:ENSG00000206806	0	0	0	0	0	0	0	0
RNU6-815P:ENSG00000206807	0	0	0	0	0	0	0	0
AC131263.2:ENSG00000206808	0	0	0	0	0	0	0	0
SNORA10:ENSG00000206811	0	0	0	0	0	0	0	0
RNU6-38P:ENSG00000206812	0	0	0	0	0	0	0	0
AL023879.1:ENSG00000206813	0	0	0	0	0	0	0	0
AC026790.1:ENSG00000206814	0	0	0	0	0	0	0	0
RNU6-483P:ENSG00000206815	0	0	0	0	0	0	0	0
AP000609.1:ENSG00000206816	0	0	0	0	0	0	0	0
BX323048.1:ENSG00000206817	0	0	0	0	0	0	0	0
RNU6-849P:ENSG00000206818	0	0	0	0	0	0	0	0
RNU6-260P:ENSG00000206819	0	0	0	0	0	0	0	0
RNU1-138P:ENSG00000206820	0	0	0	0	0	0	0	0
AL136038.3:ENSG00000206822	0	0	0	0	0	0	0	0
AC004707.1:ENSG00000206824	0	0	0	0	0	0	0	0
RNU6-974P:ENSG00000206826	0	0	0	0	0	0	0	0
RNU6-1032P:ENSG00000206827	0	0	0	0	0	0	0	0
RNVU1-30:ENSG00000206828	0	1	0	0	0	0	0	1
RNU6V:ENSG00000206832	0	0	0	0	0	0	0	0
RNU6-20P:ENSG00000206833	0	0	0	0	0	0	0	0
SNORA1:ENSG00000206834	0	0	0	0	0	0	0	0
RNU1-74P:ENSG00000206835	0	0	0	0	0	0	0	0
RNU6-1029P:ENSG00000206836	0	0	0	0	0	0	0	0
SNORA5A:ENSG00000206838	0	0	0	3	4	0	2	0
RNU6-746P:ENSG00000206839	0	0	0	0	0	0	0	0
AL117337.1:ENSG00000206840	0	0	0	0	0	0	0	0
RNU6-409P:ENSG00000206841	0	0	0	0	0	0	0	0
RNU6-413P:ENSG00000206842	0	0	0	0	0	0	0	0
RNU6-206P:ENSG00000206843	0	0	0	0	0	0	0	0
AC002365.1:ENSG00000206844	0	0	0	0	0	0	0	0
RNU6-209P:ENSG00000206845	0	0	0	0	0	0	0	0
AC091057.2:ENSG00000206846	0	0	0	0	0	0	0	0
AP000751.1:ENSG00000206847	0	0	0	0	0	0	0	0
RNU6-890P:ENSG00000206848	0	0	0	0	0	0	0	0
AC079969.1:ENSG00000206849	0	0	0	0	0	0	0	0
AC073912.1:ENSG00000206850	0	0	0	0	0	0	0	0
RNU6-895P:ENSG00000206852	0	0	0	0	0	0	0	0
AC087698.1:ENSG00000206853	0	0	0	0	0	0	0	0
RNY3P5:ENSG00000206854	0	0	0	0	0	0	0	0
RNU6-571P:ENSG00000206855	0	0	0	0	0	0	0	0
RNU6-214P:ENSG00000206857	0	0	0	0	0	0	0	0
AC116535.1:ENSG00000206858	0	0	0	0	0	0	0	0
RNU6-767P:ENSG00000206859	0	0	0	0	0	0	0	0
AC007021.1:ENSG00000206862	0	0	0	0	0	0	0	0
RNU5A-6P:ENSG00000206863	0	0	0	0	0	0	0	0
RNU6-207P:ENSG00000206864	0	0	0	0	0	0	0	0
AC008006.1:ENSG00000206865	0	0	0	0	0	0	0	0
RNU6-187P:ENSG00000206866	0	0	0	0	0	0	0	0
RNU6-356P:ENSG00000206867	0	0	0	0	0	0	0	0
SNORA70F:ENSG00000206869	0	0	0	0	0	0	0	0
RNU6-398P:ENSG00000206870	0	0	0	0	0	0	0	0
RNU6-533P:ENSG00000206871	0	0	0	0	0	0	0	0
RNU6-761P:ENSG00000206875	0	0	0	0	0	0	0	0
RNU6-1103P:ENSG00000206877	0	0	0	0	0	0	0	0
AL713899.1:ENSG00000206878	0	1	0	0	0	0	1	0
RNU6-1310P:ENSG00000206880	0	0	0	0	0	0	0	0
RNU6-190P:ENSG00000206881	0	0	0	0	0	0	0	0
SNORA75:ENSG00000206885	0	0	0	0	0	0	0	0
AL078599.1:ENSG00000206886	0	0	0	0	0	0	0	0
RNU6-1008P:ENSG00000206887	0	0	0	0	0	0	0	0
RNU6-48P:ENSG00000206888	0	0	0	0	0	0	0	0
RNU6-1200P:ENSG00000206889	0	0	0	0	0	0	0	0
RNU6-217P:ENSG00000206891	0	0	0	0	0	0	0	0
RNU6-42P:ENSG00000206892	0	0	0	0	0	0	0	0
AC092610.1:ENSG00000206895	0	0	0	0	0	0	0	0
RNU6-1124P:ENSG00000206896	0	0	0	0	0	0	0	0
SNORA9B:ENSG00000206897	0	0	0	0	0	0	0	0
AC007240.2:ENSG00000206898	0	0	0	0	0	0	0	0
RNU6-36P:ENSG00000206899	0	0	0	0	0	0	0	0
RNU6-98P:ENSG00000206900	0	0	0	0	0	0	0	0
AC016710.1:ENSG00000206901	0	0	0	0	0	0	0	0
SNORA24B:ENSG00000206903	0	0	0	0	0	0	0	0
AL358354.1:ENSG00000206905	0	0	0	0	0	0	0	0
RNU6-458P:ENSG00000206906	0	0	0	0	0	0	0	0
RNU6-1013P:ENSG00000206907	0	0	0	0	0	0	0	0
RNU1-136P:ENSG00000206908	0	0	0	0	0	0	0	0
SNORA70J:ENSG00000206909	0	0	0	0	0	0	0	0
SNORA29:ENSG00000206910	0	0	0	0	0	0	0	0
AP001894.1:ENSG00000206911	0	0	0	0	0	0	0	0
AC010460.1:ENSG00000206912	0	0	0	0	0	0	0	0
AP000577.1:ENSG00000206913	0	0	0	0	0	0	0	0
AC027290.1:ENSG00000206914	0	0	0	0	0	0	0	0
RNU6-439P:ENSG00000206915	0	0	0	0	0	0	0	0
RNU1-52P:ENSG00000206917	0	0	0	0	0	0	0	0
RNU6-1181P:ENSG00000206918	0	0	0	0	0	0	0	0
RNY1P6:ENSG00000206920	0	0	0	0	0	0	0	0
RNU6-481P:ENSG00000206921	0	0	0	0	0	0	0	0
RNU6-80P:ENSG00000206922	0	0	0	0	0	0	0	0
RNU6-432P:ENSG00000206923	0	0	0	0	0	0	0	0
RNU6-689P:ENSG00000206924	0	0	0	0	0	0	0	0
AC118344.2:ENSG00000206925	0	0	0	0	0	0	0	0
RNU6-1024P:ENSG00000206926	0	0	0	0	0	0	0	0
AC126755.2:ENSG00000206927	0	0	0	0	0	0	0	0
AC093024.1:ENSG00000206929	0	0	0	0	0	0	0	0
RNU6-1042P:ENSG00000206931	0	0	0	0	0	0	0	0
RNU6-4P:ENSG00000206932	0	0	0	0	0	0	0	0
RNU6-514P:ENSG00000206935	0	0	0	0	0	0	0	0
RNU4-52P:ENSG00000206936	0	0	0	0	0	0	0	0
SNORA70B:ENSG00000206937	0	0	0	0	0	0	0	0
RNU4-31P:ENSG00000206938	0	0	0	0	0	0	0	0
RNU6-281P:ENSG00000206939	0	0	0	0	0	0	0	0
SNORD15A:ENSG00000206941	0	0	0	0	0	0	0	0
RNU6-708P:ENSG00000206944	0	0	0	0	0	0	0	0
SNORA20B:ENSG00000206947	0	0	0	0	0	0	0	0
SNORA36A:ENSG00000206948	0	0	0	0	0	0	0	0
RNU6-1324P:ENSG00000206949	0	0	0	0	0	0	0	0
AC009898.1:ENSG00000206950	0	0	0	0	0	0	0	0
AL133244.1:ENSG00000206951	0	0	0	0	0	0	0	0
SNORA50A:ENSG00000206952	0	0	0	0	0	0	0	0
RNU6-1201P:ENSG00000206954	0	0	0	0	0	0	0	0
AC025270.1:ENSG00000206957	0	0	0	0	0	0	0	0
AC091826.1:ENSG00000206958	0	0	0	0	0	0	0	0
AL157838.2:ENSG00000206959	0	0	0	0	0	0	0	0
RNU6-793P:ENSG00000206960	0	0	0	0	0	0	0	0
AC009967.1:ENSG00000206961	0	0	0	0	0	0	0	0
RNU6-74P:ENSG00000206962	0	0	0	0	0	0	0	0
RNU6-675P:ENSG00000206963	0	0	0	0	0	0	0	0
AC012358.2:ENSG00000206964	0	0	0	0	0	0	0	0
RNU6-5P:ENSG00000206965	0	0	0	0	0	0	0	0
AP001925.1:ENSG00000206967	0	0	0	0	0	0	0	0
RNU6-1316P:ENSG00000206969	0	0	0	0	0	0	0	0
RNU6-474P:ENSG00000206970	0	0	0	0	0	0	0	0
